positive_ratings,owners,average_playtime,median_playtime,price
57,10000.0,0,0,6.99
90,10000.0,0,0,3.99
89,10000.0,0,0,3.99
94,10000.0,0,0,3.99
87,10000.0,0,0,6.99
100,10000.0,0,0,6.99
88,10000.0,0,0,6.99
100,10000.0,0,0,6.99
44,10000.0,0,0,6.99
80,75000.0,4,4,0.79
40,35000.0,0,0,5.59
91,1500000.0,93,49,7.99
93,1500000.0,86,77,7.99
80,750000.0,16,14,7.99
79,35000.0,0,0,6.99
75,35000.0,0,0,6.99
83,35000.0,0,0,6.99
74,35000.0,0,0,14.99
91,350000.0,266,262,6.99
88,350000.0,73,108,3.99
90,350000.0,53,56,3.99
92,350000.0,41,43,4.99
89,1500000.0,54,46,0.0
78,75000.0,0,0,2.99
74,3500000.0,4104,1997,0.0
93,1500000.0,2443,2805,9.99
88,750000.0,2145,2470,9.99
74,350000.0,228,347,4.99
70,750000.0,754,1502,4.99
82,1500000.0,28897,9324,9.99
80,750000.0,1401,1652,8.99
88,350000.0,102,132,8.99
70,150000.0,28,39,8.99
82,150000.0,2886,2886,8.99
33,150000.0,0,0,8.99
72,150000.0,0,0,4.49
75,150000.0,0,0,4.49
66,750000.0,1014,1018,8.99
68,350000.0,0,0,8.99
72,75000.0,0,0,4.49
80,350000.0,1556,1590,8.99
49,350000.0,398,571,17.99
88,350000.0,154,222,1.79
48,10000.0,0,0,3.99
85,1500000.0,1834,2894,8.99
75,10000.0,0,0,6.99
100,10000.0,0,0,6.99
86,750000.0,994,650,7.99
87,35000.0,0,0,3.99
80,75000.0,0,0,7.99
77,35000.0,0,0,7.99
89,75000.0,34,34,7.99
79,150000.0,135,210,3.99
77,1500000.0,1278,1257,7.99
84,350000.0,248,338,6.99
66,150000.0,0,0,3.99
25,35000.0,0,0,2.09
95,750000.0,165,241,7.99
82,350000.0,53,53,3.99
88,150000.0,19,19,3.99
93,1500000.0,473,665,3.49
95,1500000.0,247,183,7.49
76,150000.0,337,519,11.99
90,350000.0,32,32,7.99
93,1500000.0,277,271,10.99
88,3500000.0,378,215,29.99
67,350000.0,256,254,3.99
92,350000.0,333,657,0.0
28,10000.0,0,0,1.99
92,1500000.0,1108,1144,10.99
48,10000.0,0,0,14.99
50,10000.0,0,0,6.99
25,10000.0,0,0,6.99
95,1500000.0,1969,3186,12.99
78,75000.0,540,540,6.99
75,750000.0,272,333,10.99
77,350000.0,43,77,6.99
64,10000.0,0,0,3.49
72,750000.0,112,128,7.99
67,150000.0,184,184,6.99
56,150000.0,369,369,10.99
67,35000.0,0,0,5.19
85,10000.0,0,0,5.19
73,10000.0,0,0,4.99
60,350000.0,63,63,1.99
92,150000.0,148,148,14.99
88,3500000.0,2672,517,29.99
70,35000.0,44,44,7.99
85,75000.0,0,0,7.99
88,150000.0,0,0,7.99
91,3500000.0,589,369,7.99
36,75000.0,0,0,7.99
72,35000.0,0,0,1.59
57,75000.0,0,0,1.59
81,35000.0,0,0,1.59
88,750000.0,2580,4888,14.99
68,150000.0,17,17,7.99
42,150000.0,38,74,14.99
60,350000.0,312,312,7.99
79,75000.0,115,115,4.99
86,75000.0,285,333,5.99
45,35000.0,0,0,7.99
90,35000.0,0,0,5.19
86,35000.0,0,0,2.99
79,1500000.0,340,243,19.98
68,150000.0,3,3,9.99
60,75000.0,0,0,3.99
91,10000.0,1,1,8.99
89,150000.0,0,0,4.99
90,75000.0,0,0,7.19
83,150000.0,176,176,3.99
67,150000.0,1154,1154,6.99
92,150000.0,287,287,0.99
57,75000.0,0,0,6.99
90,10000.0,0,0,6.99
91,150000.0,487,487,1.59
91,350000.0,789,946,15.99
48,75000.0,143,143,6.49
58,75000.0,65,109,12.99
48,35000.0,0,0,2.99
74,750000.0,1108,993,14.99
66,150000.0,879,879,12.99
87,750000.0,835,1056,22.99
78,350000.0,435,621,14.99
70,75000.0,0,0,3.99
72,35000.0,0,0,0.0
70,150000.0,0,0,4.99
77,150000.0,422,422,3.99
81,75000.0,0,0,2.79
44,75000.0,0,0,2.79
57,150000.0,0,0,2.79
63,150000.0,0,0,3.99
50,75000.0,0,0,2.79
65,75000.0,0,0,3.99
48,75000.0,0,0,3.99
45,75000.0,0,0,2.79
40,150000.0,28,28,3.99
66,350000.0,56,56,6.99
29,75000.0,3,3,3.99
60,150000.0,20,20,6.99
81,150000.0,13,13,5.59
44,150000.0,0,0,5.59
88,750000.0,293,387,9.99
84,750000.0,227,227,9.99
58,150000.0,101,101,6.99
38,150000.0,142,157,3.99
52,150000.0,0,0,5.59
54,75000.0,105,105,6.99
76,35000.0,0,0,2.89
23,35000.0,0,0,34.95
41,35000.0,0,0,34.95
20,10000.0,0,0,6.99
25,10000.0,0,0,7.99
31,35000.0,0,0,2.09
63,75000.0,0,0,9.99
31,35000.0,0,0,34.95
77,35000.0,0,0,10.99
53,10000.0,399,399,10.99
34,35000.0,0,0,34.95
20,35000.0,0,0,34.95
63,10000.0,0,0,10.99
40,10000.0,0,0,6.99
100,10000.0,0,0,6.99
71,10000.0,0,0,6.99
28,750000.0,506,758,0.0
65,1500000.0,329,421,0.0
18,350000.0,160,267,9.99
92,150000.0,0,0,9.99
94,1500000.0,292,272,14.99
70,1500000.0,133,166,14.99
65,75000.0,979,1754,7.99
92,1500000.0,686,464,19.99
80,1500000.0,467,415,14.99
82,3500000.0,4730,499,24.99
63,350000.0,0,0,19.99
93,3500000.0,117,127,6.99
40,150000.0,1520,1520,25.99
80,10000.0,0,0,8.59
87,750000.0,600,471,12.49
60,750000.0,879,846,16.99
97,3500000.0,7932,1884,14.99
85,1500000.0,723,713,7.99
45,150000.0,0,0,14.99
85,350000.0,38,49,6.99
80,10000.0,0,0,4.99
44,75000.0,0,0,7.99
57,35000.0,0,0,3.99
88,350000.0,935,935,0.0
92,7500000.0,3276,1139,19.99
